,UniProtId,EnsemblGeneId
606,Q08462,ENSG00000078295
607,P19021,ENSG00000145730
608,P68133,ENSG00000143632
609,P60953,ENSG00000070831
610,P19634,ENSG00000090020
611,P98170,ENSG00000101966
612,O15382,ENSG00000105552
613,Q9NZK7,ENSG00000188784
614,P43155,ENSG00000095321
615,P15085,ENSG00000091704
616,P22830,ENSG00000066926
617,O43252,ENSG00000138801
618,P47929,ENSG00000178934
619,P47929,ENSG00000205076
620,P47929,ENSG00000282902
621,P47929,ENSG00000283082
622,P61024,ENSG00000173207
623,P51161,ENSG00000170231
624,P16083,ENSG00000124588
625,P06730,ENSG00000151247
626,P14174,ENSG00000240972
627,P14174,ENSG00000276701
628,P55809,ENSG00000083720
629,P08842,ENSG00000101846
630,P62312,ENSG00000164167
631,Q7Z2Z2,ENSG00000140598
632,P61626,ENSG00000090382
633,P84077,ENSG00000143761
634,P09467,ENSG00000165140
635,Q06124,ENSG00000179295
636,P00505,ENSG00000125166
637,O00204,ENSG00000088002
638,P04054,ENSG00000170890
639,Q99714,ENSG00000072506
640,P14920,ENSG00000110887
641,Q13002,ENSG00000164418
642,Q06520,ENSG00000105398
643,O00763,ENSG00000076555
644,P0DP23,ENSG00000198668
645,O60911,ENSG00000136943
646,Q00987,ENSG00000135679
647,P11172,ENSG00000114491
648,P49888,ENSG00000109193
649,Q10588,ENSG00000109743
650,Q15075,ENSG00000102189
651,P06850,ENSG00000147571
652,Q05315,ENSG00000105205
653,P20813,ENSG00000197408
654,P00973,ENSG00000089127
655,P11766,ENSG00000197894
656,Q03013,ENSG00000168765
657,P24557,ENSG00000059377
658,P00746,ENSG00000197766
659,P00746,ENSG00000274619
660,P12268,ENSG00000178035
661,P78368,ENSG00000133275
662,P11413,ENSG00000160211
663,P04745,ENSG00000174876
664,P04745,ENSG00000187733
665,P04745,ENSG00000237763
666,Q14376,ENSG00000117308
667,Q02750,ENSG00000169032
668,P42574,ENSG00000164305
669,Q92876,ENSG00000167755
670,Q04760,ENSG00000124767
671,P23919,ENSG00000168393
672,P32019,ENSG00000204084
673,Q86VU5,ENSG00000165644
674,P23434,ENSG00000140905
675,Q00266,ENSG00000151224
676,P51659,ENSG00000133835
677,Q9UNK4,ENSG00000117215
678,Q9NZD2,ENSG00000139433
679,Q96QU6,ENSG00000110455
680,P23526,ENSG00000101444
681,P13639,ENSG00000167658
682,Q9HAN9,ENSG00000173614
683,Q92947,ENSG00000105607
684,P62993,ENSG00000177885
685,P78330,ENSG00000146733
686,P28161,ENSG00000213366
687,O00142,ENSG00000166548
688,O14556,ENSG00000105679
689,Q03181,ENSG00000112033
690,O43739,ENSG00000008256
691,P61925,ENSG00000171033
692,P01303,ENSG00000122585
693,P55210,ENSG00000165806
694,P15309,ENSG00000014257
695,Q99418,ENSG00000105443
696,P48637,ENSG00000100983
697,P33316,ENSG00000128951
698,P11310,ENSG00000117054
699,P09960,ENSG00000111144
700,P34096,ENSG00000258818
701,P11086,ENSG00000141744
702,Q9NXA8,ENSG00000124523
703,Q8WVQ1,ENSG00000171302
704,P19438,ENSG00000067182
705,Q8N142,ENSG00000185100
706,Q13231,ENSG00000133063
707,P29218,ENSG00000133731
708,P22102,ENSG00000159131
709,P22102,ENSG00000262473
710,P23368,ENSG00000082212
711,Q16836,ENSG00000138796
712,P49366,ENSG00000095059
713,P13929,ENSG00000108515
714,P30085,ENSG00000162368
715,P06132,ENSG00000126088
716,Q96CD2,ENSG00000138621
717,P05067,ENSG00000142192
718,P25774,ENSG00000163131
719,P55055,ENSG00000131408
720,Q9UKG9,ENSG00000005469
721,P07686,ENSG00000049860
722,P35270,ENSG00000116096
723,Q16775,ENSG00000063854
724,P04406,ENSG00000111640
725,P36897,ENSG00000106799
726,P23415,ENSG00000145888
727,P99999,ENSG00000172115
728,P02741,ENSG00000132693
729,P51178,ENSG00000187091
730,Q99798,ENSG00000100412
731,P51687,ENSG00000139531
732,P52732,ENSG00000138160
733,P00167,ENSG00000166347
734,P26440,ENSG00000128928
735,P32119,ENSG00000167815
736,P53355,ENSG00000196730
737,Q9UQM7,ENSG00000070808
738,P20339,ENSG00000144566
739,Q9GZU7,ENSG00000144579
740,Q96RQ9,ENSG00000104951
741,P17213,ENSG00000101425
742,Q9NWM0,ENSG00000088826
743,Q6PKH6,ENSG00000187630
744,Q9UDR5,ENSG00000008311
745,P24666,ENSG00000143727
746,P02689,ENSG00000147588
747,P17174,ENSG00000120053
748,P24347,ENSG00000099953
749,P24347,ENSG00000275365
750,P19835,ENSG00000170835
751,P30043,ENSG00000090013
752,Q07912,ENSG00000061938
753,Q05655,ENSG00000163932
754,P36871,ENSG00000079739
755,P50225,ENSG00000196502
756,P04278,ENSG00000129214
757,P04179,ENSG00000112096
758,P04746,ENSG00000243480
759,P01133,ENSG00000138798
760,P16152,ENSG00000159228
761,Q7Z4J2,ENSG00000204007
762,Q00796,ENSG00000140263
763,P02778,ENSG00000169245
764,O75976,ENSG00000108582
765,P00558,ENSG00000102144
766,Q16772,ENSG00000174156
767,O00187,ENSG00000009724
768,P36952,ENSG00000206075
769,P16455,ENSG00000170430
770,P61927,ENSG00000145592
771,P30291,ENSG00000166483
772,P21673,ENSG00000130066
773,O14983,ENSG00000196296
774,P50135,ENSG00000150540
775,P31040,ENSG00000073578
776,P15813,ENSG00000158473
777,P01877,ENSG00000211890
778,P02585,ENSG00000101470
779,Q13285,ENSG00000136931
780,P01859,ENSG00000211893
781,P01859,ENSG00000274497
782,Q96GD4,ENSG00000178999
783,Q13464,ENSG00000067900
784,O60674,ENSG00000096968
785,P15086,ENSG00000153002
786,Q96LB9,ENSG00000159527
787,P31930,ENSG00000010256
788,P41231,ENSG00000175591
789,P08574,ENSG00000179091
790,O60656,ENSG00000241119
791,Q9Y5Y4,ENSG00000183134
792,P51681,ENSG00000160791
793,Q13509,ENSG00000258947
794,P35968,ENSG00000128052
795,Q2M3G0,ENSG00000004846
796,P55157,ENSG00000138823
797,P06881,ENSG00000110680
798,P29371,ENSG00000169836
799,P29466,ENSG00000137752
800,P08183,ENSG00000085563
801,P17948,ENSG00000102755
802,Q15648,ENSG00000125686
803,P49356,ENSG00000257365
804,P30874,ENSG00000180616
805,O14786,ENSG00000099250
806,P68371,ENSG00000188229
807,Q16206,ENSG00000165675
808,P02671,ENSG00000171560
809,Q01726,ENSG00000258839
810,O00206,ENSG00000136869
811,P13569,ENSG00000001626
812,P09958,ENSG00000140564
813,O43526,ENSG00000075043
814,P15382,ENSG00000180509
815,P20273,ENSG00000012124
816,P08729,ENSG00000135480
817,Q8WXI7,ENSG00000181143
818,P04049,ENSG00000132155
819,P42261,ENSG00000155511
820,P08865,ENSG00000168028
821,Q969S8,ENSG00000100429
822,Q96DB2,ENSG00000163517
823,Q92769,ENSG00000196591
824,O15379,ENSG00000171720
825,P56524,ENSG00000068024
826,Q9UQL6,ENSG00000108840
827,Q9UBN7,ENSG00000094631
828,Q8WUI4,ENSG00000061273
829,Q9UKV0,ENSG00000048052
830,P30411,ENSG00000168398
831,Q03431,ENSG00000160801
832,P06731,ENSG00000105388
833,P01903,ENSG00000227993
834,P01903,ENSG00000206308
835,P01903,ENSG00000204287
836,P01903,ENSG00000234794
837,P01903,ENSG00000230726
838,P01903,ENSG00000228987
839,P01903,ENSG00000226260
840,P79483,ENSG00000196101
841,P79483,ENSG00000231679
842,P13762,ENSG00000227357
843,P13762,ENSG00000231021
844,Q30154,ENSG00000198502
845,P04229,ENSG00000196126
846,Q30167,ENSG00000196126
847,P20039,ENSG00000196126
848,Q95IE3,ENSG00000196126
849,Q5Y7A7,ENSG00000196126
850,Q9GIY3,ENSG00000196126
851,P01911,ENSG00000196126
852,Q29974,ENSG00000196126
853,P01912,ENSG00000196126
854,P13760,ENSG00000196126
855,P13761,ENSG00000196126
856,Q30134,ENSG00000196126
857,Q9TQE0,ENSG00000196126
858,P31350,ENSG00000171848
859,P32927,ENSG00000100368
860,Q8NFA2,ENSG00000196408
861,P03952,ENSG00000164344
862,P40238,ENSG00000117400
863,Q92911,ENSG00000105641
864,P41235,ENSG00000101076
865,Q9NR96,ENSG00000239732
866,Q5NUL3,ENSG00000186188
867,P30520,ENSG00000035687
868,O00329,ENSG00000171608
869,P15328,ENSG00000110195
870,P29460,ENSG00000113302
871,P33151,ENSG00000179776
872,P36544,ENSG00000175344
873,P05093,ENSG00000148795
874,P17787,ENSG00000160716
875,Q9UNP4,ENSG00000115525
876,Q14956,ENSG00000136235
877,P16234,ENSG00000134853
878,P16615,ENSG00000174437
879,P06734,ENSG00000104921
880,P01584,ENSG00000125538
881,P16410,ENSG00000163599
882,P13945,ENSG00000188778
883,P06493,ENSG00000170312
884,P41594,ENSG00000168959
885,P32418,ENSG00000183023
886,Q9NPC1,ENSG00000213906
887,Q9NPC1,ENSG00000285203
888,Q00613,ENSG00000185122
889,Q00613,ENSG00000284774
890,P05546,ENSG00000099937
891,P08887,ENSG00000160712
892,P11597,ENSG00000087237
893,Q00975,ENSG00000148408
894,P31639,ENSG00000140675
895,P10415,ENSG00000171791
896,P47712,ENSG00000116711
897,Q9NQ25,ENSG00000026751
898,P52333,ENSG00000105639
899,P39086,ENSG00000171189
900,P00736,ENSG00000159403
901,P06858,ENSG00000175445
902,P49354,ENSG00000168522
903,P17252,ENSG00000154229
904,O14788,ENSG00000120659
905,P25963,ENSG00000100906
906,P16070,ENSG00000026508
907,P08709,ENSG00000057593
908,P05112,ENSG00000113520
909,O43193,ENSG00000102539
910,O14763,ENSG00000120889
911,P16422,ENSG00000119888
912,P05113,ENSG00000113525
913,P08684,ENSG00000160868
914,Q09470,ENSG00000111262
915,P21452,ENSG00000075073
916,P30872,ENSG00000139874
917,P42081,ENSG00000114013
918,P04062,ENSG00000177628
919,P06870,ENSG00000167748
920,P38606,ENSG00000114573
921,Q9NPD5,ENSG00000111700
922,P13727,ENSG00000186652
923,P50213,ENSG00000166411
924,P12814,ENSG00000072110
925,P31327,ENSG00000021826
926,Q99835,ENSG00000128602
927,P23280,ENSG00000131686
928,P61073,ENSG00000121966
929,O95749,ENSG00000152904
930,P11474,ENSG00000173153
931,P43405,ENSG00000165025
932,Q9UNA0,ENSG00000154736
933,P63092,ENSG00000087460
934,P20248,ENSG00000145386
935,Q15661,ENSG00000172236
936,O14757,ENSG00000149554
937,Q13526,ENSG00000127445
938,P28482,ENSG00000100030
939,P62508,ENSG00000196482
940,P53350,ENSG00000166851
941,Q16651,ENSG00000052344
942,P08217,ENSG00000142615
943,Q13362,ENSG00000078304
944,Q15788,ENSG00000084676
945,P04271,ENSG00000160307
946,P78536,ENSG00000151694
947,P23467,ENSG00000127329
948,P13051,ENSG00000076248
949,P28845,ENSG00000117594
950,P45984,ENSG00000050748
951,P03951,ENSG00000088926
952,Q99933,ENSG00000107262
953,Q16719,ENSG00000115919
954,Q15596,ENSG00000140396
955,Q07817,ENSG00000171552
956,Q9GZT9,ENSG00000135766
957,Q8N1Q1,ENSG00000185015
958,O43293,ENSG00000167657
959,P07333,ENSG00000182578
960,Q13554,ENSG00000058404
961,P42892,ENSG00000117298
962,P55263,ENSG00000156110
963,Q14914,ENSG00000106853
964,P51955,ENSG00000117650
965,O14965,ENSG00000087586
966,Q9UQF2,ENSG00000121653
967,P49137,ENSG00000162889
968,Q05397,ENSG00000169398
969,P54760,ENSG00000196411
970,P45983,ENSG00000107643
971,Q8IVS2,ENSG00000100294
972,P35557,ENSG00000106633
973,P01857,ENSG00000211896
974,P01857,ENSG00000277633
975,Q96L21,ENSG00000165496
976,Q00534,ENSG00000105810
977,O75460,ENSG00000178607
978,P25705,ENSG00000152234
979,Q15118,ENSG00000152256
980,Q9UBT6,ENSG00000122008
981,P51857,ENSG00000122787
982,Q9UM07,ENSG00000159339
983,Q9UM07,ENSG00000280908
984,P05177,ENSG00000140505
985,P07711,ENSG00000135047
986,Q9Y6M4,ENSG00000151292
987,Q494W8,ENSG00000166664
988,P11362,ENSG00000077782
989,P54687,ENSG00000060982
990,P19784,ENSG00000070770
991,O14818,ENSG00000101182
992,Q9H169,ENSG00000015592
993,Q13627,ENSG00000157540
994,P11509,ENSG00000255974
995,P07384,ENSG00000014216
996,P00156,ENSG00000198727
997,P33260,ENSG00000108242
998,Q9Y6F1,ENSG00000041880
999,P23946,ENSG00000092009
1000,P00750,ENSG00000104368
1001,Q8TF76,ENSG00000177602
1002,Q9HCD5,ENSG00000124160
1003,Q01581,ENSG00000112972
1004,Q04828,ENSG00000187134
1005,P01116,ENSG00000133703
1006,P31751,ENSG00000105221
1007,Q6P093,ENSG00000197953
1008,Q6P093,ENSG00000261846
1009,O00141,ENSG00000118515
1010,Q9H2G2,ENSG00000065613
1011,Q86XF0,ENSG00000178700
1012,P53582,ENSG00000164024
1013,P07737,ENSG00000108518
1014,Q9UHY7,ENSG00000145293
1015,Q13133,ENSG00000025434
1016,Q15067,ENSG00000161533
1017,Q9Y3R4,ENSG00000115488
1018,Q15375,ENSG00000135333
1019,Q96NX5,ENSG00000008118
1020,P49862,ENSG00000169035
1021,P17707,ENSG00000123505
1022,P09237,ENSG00000137673
1023,Q92831,ENSG00000114166
1024,Q02763,ENSG00000120156
1025,P04118,ENSG00000137392
1026,O15143,ENSG00000130429
1027,Q9NWT6,ENSG00000166135
1028,P09238,ENSG00000166670
1029,P23083,ENSG00000211934
1030,P23083,ENSG00000282550
1031,Q9HCP0,ENSG00000169118
1032,Q96GR2,ENSG00000103740
1033,Q14289,ENSG00000120899
1034,O75865,ENSG00000007255
1035,Q16654,ENSG00000004799
1036,P04637,ENSG00000141510
1037,P11684,ENSG00000149021
1038,P14649,ENSG00000196465
1039,P01768,ENSG00000270550
1040,P01768,ENSG00000282777
1041,Q8IU85,ENSG00000183049
1042,P16050,ENSG00000161905
1043,P25786,ENSG00000129084
1044,P55196,ENSG00000130396
1045,Q9NWZ3,ENSG00000198001
1046,Q04771,ENSG00000115170
1047,Q13946,ENSG00000205268
1048,Q16698,ENSG00000104325
1049,P10632,ENSG00000138115
1050,Q15119,ENSG00000005882
1051,Q92793,ENSG00000005339
1052,Q16647,ENSG00000124212
1053,Q9NPJ3,ENSG00000112304
1054,P49759,ENSG00000013441
1055,Q13555,ENSG00000148660
1056,P80192,ENSG00000006432
1057,P01112,ENSG00000174775
1058,P01112,ENSG00000276536
1059,O60218,ENSG00000198074
1060,Q9HBL8,ENSG00000153406
1061,Q9HBL8,ENSG00000274684
1062,Q9NSD5,ENSG00000010379
1063,Q9UM73,ENSG00000171094
1064,Q9H228,ENSG00000180739
1065,P28908,ENSG00000120949
1066,P23458,ENSG00000162434
1067,P02751,ENSG00000115414
1068,P28074,ENSG00000100804
1069,P25092,ENSG00000070019
1070,O95838,ENSG00000065325
1071,Q14145,ENSG00000079999
1072,P35869,ENSG00000106546
1073,Q16552,ENSG00000112115
1074,P25116,ENSG00000181104
1075,O43613,ENSG00000121764
1076,Q15116,ENSG00000188389
1077,Q15116,ENSG00000276977
1078,P48357,ENSG00000116678
1079,P15391,ENSG00000177455
1080,Q06187,ENSG00000010671
1081,P09110,ENSG00000060971
1082,P11802,ENSG00000135446
1083,P39023,ENSG00000100316
1084,P12429,ENSG00000138772
1085,P10721,ENSG00000157404
1086,P21453,ENSG00000170989
1087,P00740,ENSG00000101981
1088,Q99571,ENSG00000135124
1089,P00395,ENSG00000198804
1090,P25105,ENSG00000169403
1091,O60706,ENSG00000069431
1092,P56181,ENSG00000160194
1093,P23560,ENSG00000176697
1094,Q8NBP7,ENSG00000169174
1095,P04275,ENSG00000110799
1096,P28907,ENSG00000004468
1097,P55073,ENSG00000197406
1098,P47872,ENSG00000080293
1099,Q9UEW3,ENSG00000019169
1100,P36956,ENSG00000072310
1101,P21283,ENSG00000155097
1102,Q96PD7,ENSG00000062282
1103,P11166,ENSG00000117394
1104,P00367,ENSG00000148672
1105,O95180,ENSG00000196557
1106,Q9Y698,ENSG00000166862
1107,O60359,ENSG00000006116
1108,Q9UBN1,ENSG00000075461
1109,Q9UF02,ENSG00000075429
1110,Q9BXT2,ENSG00000130433
1111,P62955,ENSG00000105605
1112,Q8WXS5,ENSG00000142408
1113,Q9NY47,ENSG00000007402
1114,Q8IZS8,ENSG00000157445
1115,Q7Z3S7,ENSG00000151062
1116,Q7Z3S7,ENSG00000284953
1117,Q9HC97,ENSG00000178623
1118,P35908,ENSG00000172867
1119,P70174,ENSMUSG00000053004
1120,P28566,ENSG00000168830
1121,P30939,ENSG00000179097
1122,O95264,ENSG00000149305
1123,Q8WXA8,ENSG00000178084
1124,Q70Z44,ENSG00000186090
1125,A5X5Y0,ENSG00000186038
1126,P34969,ENSG00000148680
1127,P04439,ENSG00000206503
1128,P19320,ENSG00000162692
1129,P02768,ENSG00000163631
1130,Q92482,ENSG00000165272
1131,P12259,ENSG00000198734
1132,Q9NZQ7,ENSG00000120217
1133,P63261,ENSG00000184009
1134,Q13873,ENSG00000204217
1135,Q9Y5N1,ENSG00000101180
1136,P02766,ENSG00000118271
1137,Q9NPF7,ENSG00000110944
1138,Q9BQB4,ENSG00000167941
1139,P53396,ENSG00000131473
1140,P04629,ENSG00000198400
1141,P42336,ENSG00000121879
1142,Q01344,ENSG00000091181
1143,Q8IWU9,ENSG00000139287
1144,Q92847,ENSG00000121853
1145,P36888,ENSG00000122025
1146,P24394,ENSG00000077238
1147,P11712,ENSG00000138109
1148,P04798,ENSG00000140465
1149,P07451,ENSG00000164879
1150,Q16602,ENSG00000064989
1151,P51679,ENSG00000183813
1152,P01350,ENSG00000184502
1153,P25942,ENSG00000101017
1154,P62736,ENSG00000107796
1155,P43490,ENSG00000105835
1156,O14746,ENSG00000164362
1157,P35408,ENSG00000171522
1158,P09758,ENSG00000184292
1159,Q15722,ENSG00000213903
1160,Q15722,ENSG00000285456
1161,Q14872,ENSG00000188786
1162,P0DM35,ENSG00000244020
1163,P04731,ENSG00000205362
1164,P07438,ENSG00000169688
1165,P04732,ENSG00000169715
1166,P04733,ENSG00000198417
1167,P13640,ENSG00000125144
1168,P80294,ENSG00000205358
1169,Q8N339,ENSG00000205364
1170,P80297,ENSG00000187193
1171,P02795,ENSG00000125148
1172,P25713,ENSG00000087250
1173,P47944,ENSG00000102891
1174,Q9Y4I5,ENSG00000132749
1175,P08263,ENSG00000243955
1176,O43174,ENSG00000095596
1177,P11717,ENSG00000197081
1178,P48735,ENSG00000182054
1179,O15496,ENSG00000069764
1180,O15496,ENSG00000276870
1181,Q12908,ENSG00000125255
1182,P27361,ENSG00000102882
1183,Q16518,ENSG00000116745
1184,Q96EB6,ENSG00000096717
1185,Q9UDX4,ENSG00000100012
1186,P20393,ENSG00000126368
1187,Q14995,ENSG00000174738
1188,O75533,ENSG00000115524
1189,Q8SPQ9,ENSCAFG00000013762
1190,O14732,ENSG00000141401
1191,P04083,ENSG00000135046
1192,Q15910,ENSG00000106462
1193,P01579,ENSG00000111537
1194,P10636,ENSG00000186868
1195,P10636,ENSG00000277956
1196,P10636,ENSG00000276155
1197,Q99814,ENSG00000116016
1198,P35232,ENSG00000167085
1199,P33981,ENSG00000112742
1200,P11532,ENSG00000198947
1201,P07949,ENSG00000165731
